Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
10/20/2011,18,,Allen Park,26-163-0001,AQS
10/21/2011,26,,Allen Park,26-163-0001,AQS
10/22/2011,49,,Allen Park,26-163-0001,AQS
10/23/2011,63,,Allen Park,26-163-0001,AQS
10/24/2011,37,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/25/2011,45,,FIA/Lafayette,26-163-0039,AQS
10/26/2011,40,,Allen Park,26-163-0001,AQS
10/27/2011,30,,Allen Park,26-163-0001,AQS
10/28/2011,54,,Allen Park,26-163-0001,AQS
10/29/2011,53,,Allen Park,26-163-0001,AQS
10/30/2011,71,,East 7 Mile,26-163-0019,AQS
10/31/2011,82,,Allen Park,26-163-0001,AQS
11/01/2011,57,,Allen Park,26-163-0001,AQS
11/02/2011,59,,Southwestern H.S.,26-163-0015,AQS
11/03/2011,44,,Allen Park,26-163-0001,AQS
11/04/2011,32,,Allen Park,26-163-0001,AQS
11/05/2011,43,,Allen Park,26-163-0001,AQS
11/06/2011,56,,Allen Park,26-163-0001,AQS
11/07/2011,56,,Allen Park,26-163-0001,AQS
11/08/2011,60,,Southwestern H.S.,26-163-0015,AQS
11/09/2011,32,,Allen Park,26-163-0001,AQS
11/10/2011,29,,Allen Park,26-163-0001,AQS
11/11/2011,38,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/12/2011,43,,Allen Park,26-163-0001,AQS
11/13/2011,48,,Allen Park,26-163-0001,AQS
11/14/2011,41,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/15/2011,55,,FIA/Lafayette,26-163-0039,AQS
11/16/2011,32,,Allen Park,26-163-0001,AQS
11/17/2011,37,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/18/2011,29,,FIA/Lafayette,26-163-0039,AQS
11/19/2011,41,,Allen Park,26-163-0001,AQS
11/20/2011,35,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/21/2011,31,,Allen Park,26-163-0001,AQS
11/22/2011,42,,FIA/Lafayette,26-163-0039,AQS
11/23/2011,31,,Allen Park,26-163-0001,AQS
11/24/2011,65,,FIA/Lafayette,26-163-0039,AQS
11/25/2011,41,,FIA/Lafayette,26-163-0039,AQS
11/26/2011,64,,Southwestern H.S.,26-163-0015,AQS
11/27/2011,22,,Allen Park,26-163-0001,AQS
11/28/2011,24,,Allen Park,26-163-0001,AQS
11/29/2011,15,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/30/2011,27,,Allen Park,26-163-0001,AQS
12/01/2011,58,,FIA/Lafayette,26-163-0039,AQS
12/02/2011,45,,Allen Park,26-163-0001,AQS
12/03/2011,58,,Allen Park,26-163-0001,AQS
12/04/2011,41,,Allen Park,26-163-0001,AQS
12/05/2011,24,,Allen Park,26-163-0001,AQS
12/06/2011,25,,Allen Park,26-163-0001,AQS
12/07/2011,27,,Allen Park,26-163-0001,AQS
12/08/2011,65,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/09/2011,53,,FIA/Lafayette,26-163-0039,AQS
12/10/2011,43,,Allen Park,26-163-0001,AQS
12/11/2011,65,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/12/2011,70,,Allen Park,26-163-0001,AQS
12/13/2011,91,,Allen Park,26-163-0001,AQS
12/14/2011,82,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/15/2011,21,,Allen Park,26-163-0001,AQS
12/16/2011,24,,Allen Park,26-163-0001,AQS
12/17/2011,28,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/18/2011,61,,FIA/Lafayette,26-163-0039,AQS
12/19/2011,48,,FIA/Lafayette,26-163-0039,AQS
12/20/2011,38,,Allen Park,26-163-0001,AQS
12/21/2011,53,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/22/2011,45,,Allen Park,26-163-0001,AQS
12/23/2011,33,,Allen Park,26-163-0001,AQS
12/24/2011,47,,FIA/Lafayette,26-163-0039,AQS
12/25/2011,35,,FIA/Lafayette,26-163-0039,AQS
12/26/2011,35,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/27/2011,40,,Allen Park,26-163-0001,AQS
12/28/2011,25,,Allen Park,26-163-0001,AQS
12/29/2011,59,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/30/2011,53,,FIA/Lafayette,26-163-0039,AQS
12/31/2011,36,,Allen Park,26-163-0001,AQS
01/01/2012,32,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
01/02/2012,18,,Allen Park,26-163-0001,AQS
01/03/2012,23,,Allen Park,26-163-0001,AQS
01/04/2012,57,,Allen Park,26-163-0001,AQS
01/05/2012,59,,FIA/Lafayette,26-163-0039,AQS
01/06/2012,46,,FIA/Lafayette,26-163-0039,AQS
01/07/2012,33,,Allen Park,26-163-0001,AQS
01/08/2012,28,,Allen Park,26-163-0001,AQS
01/09/2012,53,,FIA/Lafayette,26-163-0039,AQS
01/10/2012,69,,Southwestern H.S.,26-163-0015,AQS
01/11/2012,66,,FIA/Lafayette,26-163-0039,AQS
01/12/2012,47,,Allen Park,26-163-0001,AQS
01/13/2012,33,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
01/14/2012,37,,Allen Park,26-163-0001,AQS
01/15/2012,34,,FIA/Lafayette,26-163-0039,AQS
01/16/2012,64,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
01/17/2012,23,,Allen Park,26-163-0001,AQS
01/18/2012,18,,Allen Park,26-163-0001,AQS
01/19/2012,49,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
01/20/2012,38,,FIA/Lafayette,26-163-0039,AQS
01/21/2012,48,,Allen Park,26-163-0001,AQS
01/22/2012,63,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
01/23/2012,35,,FIA/Lafayette,26-163-0039,AQS
01/24/2012,59,,Southwestern H.S.,26-163-0015,AQS
01/25/2012,60,,Allen Park,26-163-0001,AQS
01/26/2012,66,,FIA/Lafayette,26-163-0039,AQS
01/27/2012,33,,Allen Park,26-163-0001,AQS
01/28/2012,52,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
01/29/2012,25,,FIA/Lafayette,26-163-0039,AQS
01/30/2012,48,,Allen Park,26-163-0001,AQS
01/31/2012,63,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
02/01/2012,45,,Allen Park,26-163-0001,AQS
02/02/2012,44,,FIA/Lafayette,26-163-0039,AQS
02/03/2012,72,,Allen Park,26-163-0001,AQS
02/04/2012,40,,Allen Park,26-163-0001,AQS
02/05/2012,61,,Allen Park,26-163-0001,AQS
02/06/2012,54,,Allen Park,26-163-0001,AQS
02/07/2012,40,,Allen Park,26-163-0001,AQS
02/08/2012,24,,Allen Park,26-163-0001,AQS
02/09/2012,139,,Southwestern H.S.,26-163-0015,AQS
02/10/2012,60,,FIA/Lafayette,26-163-0039,AQS
02/11/2012,18,,Allen Park,26-163-0001,AQS
02/12/2012,23,,Allen Park,26-163-0001,AQS
02/13/2012,40,,FIA/Lafayette,26-163-0039,AQS
02/14/2012,64,,FIA/Lafayette,26-163-0039,AQS
02/15/2012,70,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
02/16/2012,69,,FIA/Lafayette,26-163-0039,AQS
02/17/2012,53,,Allen Park,26-163-0001,AQS
02/18/2012,52,,Southwestern H.S.,26-163-0015,AQS
02/19/2012,23,,Allen Park,26-163-0001,AQS
02/20/2012,39,,Allen Park,26-163-0001,AQS
02/21/2012,56,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
02/22/2012,30,,Allen Park,26-163-0001,AQS
02/23/2012,51,,Allen Park,26-163-0001,AQS
02/24/2012,62,,Port Huron,26-147-0005,AQS
02/25/2012,32,,Allen Park,26-163-0001,AQS
02/26/2012,45,,Allen Park,26-163-0001,AQS
02/27/2012,50,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
02/28/2012,48,,FIA/Lafayette,26-163-0039,AQS
02/29/2012,44,,FIA/Lafayette,26-163-0039,AQS
03/01/2012,55,,92 FEET FROM WHE STREET,26-163-0036,AQS
03/02/2012,51,,FIA/Lafayette,26-163-0039,AQS
03/03/2012,29,,Allen Park,26-163-0001,AQS
03/04/2012,59,,Port Huron,26-147-0005,AQS
03/05/2012,33,,Allen Park,26-163-0001,AQS
03/06/2012,32,,Allen Park,26-163-0001,AQS
03/07/2012,60,,Southwestern H.S.,26-163-0015,AQS
03/08/2012,43,,FIA/Lafayette,26-163-0039,AQS
03/09/2012,26,,Allen Park,26-163-0001,AQS
03/10/2012,35,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
03/11/2012,45,,Allen Park,26-163-0001,AQS
03/12/2012,53,,Allen Park,26-163-0001,AQS
03/13/2012,68,,Oak Park,26-125-0001,AQS
03/14/2012,52,,Allen Park,26-163-0001,AQS
03/15/2012,63,,Allen Park,26-163-0001,AQS
03/16/2012,69,,Southwestern H.S.,26-163-0015,AQS
03/17/2012,52,,Allen Park,26-163-0001,AQS
03/18/2012,53,,Allen Park,26-163-0001,AQS
03/19/2012,52,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
03/20/2012,56,,Allen Park,26-163-0001,AQS
03/21/2012,63,,Allen Park,26-163-0001,AQS
03/22/2012,74,,Southwestern H.S.,26-163-0015,AQS
03/23/2012,63,,Allen Park,26-163-0001,AQS
03/24/2012,52,,Allen Park,26-163-0001,AQS
03/25/2012,42,,Allen Park,26-163-0001,AQS
03/26/2012,18,,Allen Park,26-163-0001,AQS
03/27/2012,22,,Allen Park,26-163-0001,AQS
03/28/2012,42,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
03/29/2012,19,,Allen Park,26-163-0001,AQS
03/30/2012,41,,Allen Park,26-163-0001,AQS
03/31/2012,53,,Allen Park,26-163-0001,AQS
04/01/2012,66,,FIA/Lafayette,26-163-0039,AQS
04/02/2012,39,,Allen Park,26-163-0001,AQS
04/03/2012,63,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
04/04/2012,30,,Allen Park,26-163-0001,AQS
04/05/2012,28,,Allen Park,26-163-0001,AQS
04/06/2012,30,,Allen Park,26-163-0001,AQS
04/07/2012,53,,Allen Park,26-163-0001,AQS
04/08/2012,33,,Allen Park,26-163-0001,AQS
04/09/2012,26,,Southwestern H.S.,26-163-0015,AQS
04/10/2012,23,,Allen Park,26-163-0001,AQS
04/11/2012,25,,Allen Park,26-163-0001,AQS
04/12/2012,52,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
04/13/2012,50,,Allen Park,26-163-0001,AQS
04/14/2012,58,,FIA/Lafayette,26-163-0039,AQS
04/15/2012,105,,Southwestern H.S.,26-163-0015,AQS
04/16/2012,35,,Allen Park,26-163-0001,AQS
04/17/2012,25,,Allen Park,26-163-0001,AQS
04/18/2012,37,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
04/19/2012,45,,Allen Park,26-163-0001,AQS
04/20/2012,39,,Allen Park,26-163-0001,AQS
04/21/2012,40,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
04/22/2012,20,,Allen Park,26-163-0001,AQS
04/23/2012,16,,Allen Park,26-163-0001,AQS
04/24/2012,28,,Allen Park,26-163-0001,AQS
04/25/2012,44,,Allen Park,26-163-0001,AQS
04/26/2012,32,,Allen Park,26-163-0001,AQS
04/27/2012,29,,Southwestern H.S.,26-163-0015,AQS
04/28/2012,28,,Allen Park,26-163-0001,AQS
04/29/2012,37,,Allen Park,26-163-0001,AQS
04/30/2012,54,,SCHOOLCRAFT COLLEGE,26-163-0025,AQS
05/01/2012,55,,Allen Park,26-163-0001,AQS
05/02/2012,54,,Allen Park,26-163-0001,AQS
05/03/2012,61,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
05/04/2012,39,,FIA/Lafayette,26-163-0039,AQS
05/05/2012,36,,Allen Park,26-163-0001,AQS
05/06/2012,36,,Allen Park,26-163-0001,AQS
05/07/2012,48,,Allen Park,26-163-0001,AQS
05/08/2012,42,,Allen Park,26-163-0001,AQS
05/09/2012,36,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
