Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
10/16/20,48,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/17/20,38,,Southwestern H.S.,26-163-0015,AQS
10/18/20,31,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/19/20,34,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
10/20/20,37,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/21/20,42,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/22/20,47,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/23/20,47,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/24/20,20,,ELIZA-NR,26-163-0093,AQS
10/25/20,31,,ELIZA-NR,26-163-0093,AQS
10/26/20,42,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/27/20,35,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/28/20,51,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/29/20,59,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/30/20,27,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/31/20,40,,ELIZA-NR,26-163-0093,AQS
11/1/20,26,,ELIZA-NR,26-163-0093,AQS
11/2/20,29,,ELIZA-NR,26-163-0093,AQS
11/3/20,63,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/4/20,57,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/5/20,63,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/6/20,85,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/7/20,94,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/8/20,126,,ELIZA-NR,26-163-0093,AQS
11/9/20,67,,ELIZA-NR,26-163-0093,AQS
11/10/20,43,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/11/20,25,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/12/20,68,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/13/20,56,,ELIZA-NR,26-163-0093,AQS
11/14/20,61,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/15/20,40,,ELIZA-NR,26-163-0093,AQS
11/16/20,35,,ELIZA-NR,26-163-0093,AQS
11/17/20,23,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/18/20,38,,ELIZA-NR,26-163-0093,AQS
11/19/20,58,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/20/20,61,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/21/20,37,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/22/20,28,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/23/20,49,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/24/20,51,,ELIZA-NR,26-163-0093,AQS
11/25/20,53,,ELIZA-NR,26-163-0093,AQS
11/26/20,45,,Military Park (GHIB),26-163-0100,AQS
11/27/20,54,,Military Park (GHIB),26-163-0100,AQS
