Date,PM2.5AQI Value,Main Pollutant,Site Name,Site ID,Source
9/30/00,74,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/1/00,82,,,26-163-0016,AQS
10/2/00,77,,,26-163-0016,AQS
10/3/00,75,,92 FEET FROM WHE STREET,26-163-0036,AQS
10/4/00,44,,Allen Park,26-163-0001,AQS
10/5/00,55,,Allen Park,26-163-0001,AQS
10/6/00,38,,Southwestern H.S.,26-163-0015,AQS
10/7/00,16,,Allen Park,26-163-0001,AQS
10/8/00,17,,Allen Park,26-163-0001,AQS
10/9/00,28,,Southwestern H.S.,26-163-0015,AQS
10/10/00,32,,Allen Park,26-163-0001,AQS
10/11/00,42,,Allen Park,26-163-0001,AQS
10/12/00,75,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/13/00,74,,,26-163-0016,AQS
10/14/00,74,,Allen Park,26-163-0001,AQS
10/15/00,126,,92 FEET FROM WHE STREET,26-163-0036,AQS
10/16/00,66,,Allen Park,26-163-0001,AQS
10/17/00,87,,,26-163-0016,AQS
10/18/00,76,,Southwestern H.S.,26-163-0015,AQS
10/19/00,94,,Allen Park,26-163-0001,AQS
10/20/00,66,,Allen Park,26-163-0001,AQS
10/21/00,67,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/22/00,27,,Allen Park,26-163-0001,AQS
10/23/00,78,,,26-163-0016,AQS
10/24/00,125,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/25/00,90,,Allen Park,26-163-0001,AQS
10/26/00,149,,,26-163-0016,AQS
10/27/00,103,,92 FEET FROM WHE STREET,26-163-0036,AQS
10/28/00,18,,Allen Park,26-163-0001,AQS
10/29/00,33,,Allen Park,26-163-0001,AQS
10/30/00,63,,Southwestern H.S.,26-163-0015,AQS
10/31/00,71,,Allen Park,26-163-0001,AQS
11/1/00,48,,,26-163-0016,AQS
11/2/00,66,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/3/00,58,,Allen Park,26-163-0001,AQS
11/4/00,46,,Allen Park,26-163-0001,AQS
11/5/00,61,,Allen Park,26-163-0001,AQS
11/6/00,55,,Allen Park,26-163-0001,AQS
11/7/00,94,,,26-163-0016,AQS
11/8/00,85,,Port Huron,26-147-0005,AQS
11/9/00,72,,Allen Park,26-163-0001,AQS
11/10/00,14,,Allen Park,26-163-0001,AQS
11/11/00,19,,Southwestern H.S.,26-163-0015,AQS
11/12/00,45,,Allen Park,26-163-0001,AQS
11/13/00,61,,,26-163-0016,AQS
11/14/00,65,,92 FEET FROM WHE STREET,26-163-0036,AQS
11/15/00,78,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/16/00,64,,,26-163-0016,AQS
11/17/00,48,,92 FEET FROM WHE STREET,26-163-0036,AQS
11/18/00,60,,,26-163-0016,AQS
11/19/00,60,,,26-163-0016,AQS
11/20/00,71,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/21/00,31,,Allen Park,26-163-0001,AQS
11/22/00,43,,,26-163-0016,AQS
11/23/00,35,,Southwestern H.S.,26-163-0015,AQS
11/24/00,62,,,26-163-0016,AQS
11/25/00,80,,Allen Park,26-163-0001,AQS
11/26/00,67,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/27/00,62,,Allen Park,26-163-0001,AQS
11/28/00,84,,Allen Park,26-163-0001,AQS
11/29/00,75,,,26-163-0016,AQS
11/30/00,49,,Allen Park,26-163-0001,AQS
