Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
11/30/1999,31,,Allen Park,26-163-0001,AQS
12/01/1999,62,,,26-163-0016,AQS
12/02/1999,75,,Southwestern H.S.,26-163-0015,AQS
12/03/1999,72,,,26-163-0016,AQS
12/04/1999,80,,,26-163-0016,AQS
12/05/1999,81,,Southwestern H.S.,26-163-0015,AQS
12/06/1999,20,,Allen Park,26-163-0001,AQS
12/07/1999,62,,,26-163-0016,AQS
12/08/1999,91,,,26-163-0016,AQS
12/09/1999,97,,,26-163-0016,AQS
12/10/1999,55,,,26-163-0016,AQS
12/11/1999,51,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/12/1999,62,,Allen Park,26-163-0001,AQS
12/13/1999,75,,,26-163-0016,AQS
12/14/1999,54,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/15/1999,59,,,26-163-0016,AQS
12/16/1999,50,,,26-163-0016,AQS
12/17/1999,70,,Southwestern H.S.,26-163-0015,AQS
12/18/1999,53,,,26-163-0016,AQS
12/19/1999,67,,,26-163-0016,AQS
12/20/1999,71,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/21/1999,39,,,26-163-0016,AQS
12/22/1999,45,,Allen Park,26-163-0001,AQS
12/23/1999,58,,92 FEET FROM WHE STREET,26-163-0036,AQS
12/25/1999,54,,,26-163-0016,AQS
12/26/1999,62,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/27/1999,26,,Allen Park,26-163-0001,AQS
12/28/1999,50,,,26-163-0016,AQS
12/29/1999,62,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/30/1999,46,,Allen Park,26-163-0001,AQS
01/01/2000,91,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
01/02/2000,89,,,26-163-0016,AQS
01/03/2000,58,,,26-163-0016,AQS
01/04/2000,37,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
01/05/2000,38,,,26-163-0016,AQS
01/06/2000,66,,,26-163-0016,AQS
01/07/2000,68,,92 FEET FROM WHE STREET,26-163-0036,AQS
01/08/2000,80,,,26-163-0016,AQS
01/09/2000,82,,,26-163-0016,AQS
01/10/2000,85,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
01/11/2000,35,,Allen Park,26-163-0001,AQS
01/12/2000,60,,Allen Park,26-163-0001,AQS
01/13/2000,35,,Southwestern H.S.,26-163-0015,AQS
01/14/2000,51,,Allen Park,26-163-0001,AQS
01/15/2000,73,,,26-163-0016,AQS
01/16/2000,41,,,26-163-0016,AQS
01/17/2000,21,,,26-163-0016,AQS
01/18/2000,67,,,26-163-0016,AQS
01/19/2000,67,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
01/20/2000,58,,Allen Park,26-163-0001,AQS
01/21/2000,61,,Allen Park,26-163-0001,AQS
01/22/2000,78,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
01/23/2000,71,,,26-163-0016,AQS
01/24/2000,74,,,26-163-0016,AQS
01/25/2000,110,,Southwestern H.S.,26-163-0015,AQS
01/26/2000,30,,Allen Park,26-163-0001,AQS
01/27/2000,42,,Allen Park,26-163-0001,AQS
01/28/2000,68,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
01/29/2000,96,,Allen Park,26-163-0001,AQS
01/30/2000,82,,,26-163-0016,AQS
01/31/2000,116,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
02/01/2000,57,,Allen Park,26-163-0001,AQS
02/02/2000,63,,Allen Park,26-163-0001,AQS
02/03/2000,113,,,26-163-0016,AQS
02/04/2000,76,,,26-163-0016,AQS
02/05/2000,51,,,26-163-0016,AQS
02/06/2000,80,,92 FEET FROM WHE STREET,26-163-0036,AQS
02/07/2000,70,,Allen Park,26-163-0001,AQS
02/08/2000,70,,,26-163-0016,AQS
