Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
04/13/2021,44,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
04/14/2021,50,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
04/15/2021,28,,ELIZA-NR,26-163-0093,AQS
04/16/2021,30,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
04/17/2021,39,,Allen Park,26-163-0001,AQS
04/18/2021,52,,ELIZA-NR,26-163-0093,AQS
04/19/2021,53,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
04/20/2021,28,,ELIZA-NR,26-163-0093,AQS
04/21/2021,26,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
04/22/2021,35,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
04/23/2021,65,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
04/24/2021,66,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
04/25/2021,44,,ELIZA-NR,26-163-0093,AQS
04/26/2021,45,,ELIZA-NR,26-163-0093,AQS
04/27/2021,59,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
04/28/2021,62,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
04/29/2021,37,,Allen Park,26-163-0001,AQS
04/30/2021,24,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
05/01/2021,38,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
05/02/2021,56,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
05/03/2021,39,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
05/04/2021,55,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
05/05/2021,27,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
05/06/2021,41,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
05/07/2021,46,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
05/08/2021,21,,ELIZA-NR,26-163-0093,AQS
05/09/2021,38,,ELIZA-NR,26-163-0093,AQS
05/10/2021,47,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
05/11/2021,23,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
