Date,Carbon Monoxide AQI Value,Main Pollutant,Site Name,Site ID,Source
7/11/19,6,,ELIZA-NR,26-163-0093,AQS
7/12/19,7,,NORTHWEST,26-163-1005,AQS
7/13/19,7,,Allen Park,26-163-0001,AQS
7/14/19,6,,Allen Park,26-163-0001,AQS
7/15/19,7,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
7/16/19,6,,Allen Park,26-163-0001,AQS
7/17/19,6,,Allen Park,26-163-0001,AQS
7/18/19,8,,Allen Park,26-163-0001,AQS
7/19/19,6,,Allen Park,26-163-0001,AQS
7/20/19,6,,Allen Park,26-163-0001,AQS
7/21/19,7,,NORTHWEST,26-163-1005,AQS
7/22/19,6,,Allen Park,26-163-0001,AQS
7/23/19,7,,Allen Park,26-163-0001,AQS
7/24/19,6,,ELIZA-NR,26-163-0093,AQS
7/25/19,8,,ELIZA-NR,26-163-0093,AQS
7/26/19,10,,ELIZA-NR,26-163-0093,AQS
7/27/19,9,,ELIZA-NR,26-163-0093,AQS
7/28/19,7,,ELIZA-NR,26-163-0093,AQS
7/29/19,8,,ELIZA-NR,26-163-0093,AQS
7/30/19,7,,ELIZA-NR,26-163-0093,AQS
7/31/19,5,,Allen Park,26-163-0001,AQS
8/1/19,5,,Allen Park,26-163-0001,AQS
8/2/19,7,,ELIZA-NR,26-163-0093,AQS
8/3/19,11,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
8/4/19,10,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
8/5/19,17,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
8/6/19,7,,ELIZA-NR,26-163-0093,AQS
8/7/19,18,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
8/8/19,6,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
8/9/19,6,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
8/10/19,6,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
8/11/19,9,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
8/12/19,6,,ELIZA-NR,26-163-0093,AQS
8/13/19,6,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
8/14/19,5,,Allen Park,26-163-0001,AQS
8/15/19,6,,(Northeast corner),26-163-1008,AQS
8/16/19,7,,ELIZA-NR,26-163-0093,AQS
8/17/19,7,,ELIZA-NR,26-163-0093,AQS
8/18/19,6,,ELIZA-NR,26-163-0093,AQS
8/19/19,7,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
8/20/19,7,,ELIZA-NR,26-163-0093,AQS
8/21/19,7,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
8/22/19,6,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
8/23/19,6,,Allen Park,26-163-0001,AQS
8/24/19,5,,Allen Park,26-163-0001,AQS
8/25/19,6,,Allen Park,26-163-0001,AQS
8/26/19,9,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
8/27/19,6,,Allen Park,26-163-0001,AQS
8/28/19,6,,Allen Park,26-163-0001,AQS
8/29/19,6,,Allen Park,26-163-0001,AQS
8/30/19,7,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
8/31/19,7,,Allen Park,26-163-0001,AQS
9/1/19,7,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
9/2/19,7,,Allen Park,26-163-0001,AQS
9/3/19,13,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
9/4/19,13,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
9/5/19,7,,Allen Park,26-163-0001,AQS
9/6/19,9,,Allen Park,26-163-0001,AQS
9/7/19,7,,Allen Park,26-163-0001,AQS
9/8/19,7,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
9/9/19,7,,Allen Park,26-163-0001,AQS
9/10/19,8,,ELIZA-NR,26-163-0093,AQS
9/11/19,9,,ELIZA-NR,26-163-0093,AQS
9/12/19,7,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
9/13/19,8,,ELIZA-NR,26-163-0093,AQS
9/14/19,6,,ELIZA-NR,26-163-0093,AQS
9/15/19,8,,ELIZA-NR,26-163-0093,AQS
9/16/19,10,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
9/17/19,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
9/18/19,9,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
9/19/19,9,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
9/20/19,13,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
9/21/19,14,,ELIZA-NR,26-163-0093,AQS
9/22/19,8,,ELIZA-NR,26-163-0093,AQS
9/23/19,10,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
9/24/19,9,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
9/25/19,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
9/26/19,7,,ELIZA-NR,26-163-0093,AQS
9/27/19,7,,ELIZA-NR,26-163-0093,AQS
9/28/19,5,,ELIZA-NR,26-163-0093,AQS
9/29/19,5,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
9/30/19,10,,ELIZA-NR,26-163-0093,AQS
10/1/19,10,,ELIZA-NR,26-163-0093,AQS
10/2/19,7,,ELIZA-NR,26-163-0093,AQS
10/3/19,6,,Allen Park,26-163-0001,AQS
10/4/19,3,,Allen Park,26-163-0001,AQS
10/5/19,6,,Allen Park,26-163-0001,AQS
10/6/19,6,,Allen Park,26-163-0001,AQS
10/7/19,8,,ELIZA-NR,26-163-0093,AQS
10/8/19,9,,ELIZA-NR,26-163-0093,AQS
10/9/19,9,,ELIZA-NR,26-163-0093,AQS
10/10/19,8,,MARK TWAIN MIDDLE SCHOOL,26-163-1009,AQS
10/11/19,10,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/12/19,6,,ELIZA-NR,26-163-0093,AQS
10/13/19,5,,Allen Park,26-163-0001,AQS
10/14/19,9,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
