Date, AQI Value,Main Pollutant,Site Name,Site ID,Source
2/6/81,44.0,NO2,,26-163-0020,AQS
2/7/81,63.0,NO2,Oak Park,26-125-0001,AQS
2/8/81,38.0,Ozone,New Haven,26-099-0009,AQS
2/9/81,82.0,NO2,,26-147-0904,AQS
2/10/81,106.0,NO2,,26-147-0904,AQS
2/11/81,43.0,NO2,Oak Park,26-125-0001,AQS
2/12/81,57.0,NO2,Oak Park,26-125-0001,AQS
2/13/81,80.0,NO2,Oak Park,26-125-0001,AQS
2/14/81,102.0,NO2,Oak Park,26-125-0001,AQS
2/15/81,96.0,NO2,Oak Park,26-125-0001,AQS
2/16/81,72.0,NO2,Oak Park,26-125-0001,AQS
2/17/81,50.0,NO2,Oak Park,26-125-0001,AQS
2/18/81,71.0,NO2,Oak Park,26-125-0001,AQS
2/19/81,110.0,NO2,Oak Park,26-125-0001,AQS
2/20/81,73.0,NO2,Oak Park,26-125-0001,AQS
2/21/81,102.0,NO2,Oak Park,26-125-0001,AQS
2/22/81,82.0,NO2,Oak Park,26-125-0001,AQS
2/23/81,72.0,NO2,Oak Park,26-125-0001,AQS
2/24/81,44.0,NO2,Oak Park,26-125-0001,AQS
2/25/81,49.0,NO2,Oak Park,26-125-0001,AQS
2/26/81,49.0,NO2,Oak Park,26-125-0001,AQS
2/27/81,86.0,CO,,26-163-0021,AQS
2/28/81,62.0,NO2,Oak Park,26-125-0001,AQS
3/1/81,30.0,Ozone,Port Huron,26-147-0005,AQS
3/2/81,34.0,Ozone,Oak Park,26-125-0001,AQS
3/3/81,68.0,NO2,Oak Park,26-125-0001,AQS
3/4/81,65.0,NO2,Oak Park,26-125-0001,AQS
3/5/81,66.0,NO2,Oak Park,26-125-0001,AQS
3/6/81,73.0,NO2,,26-147-0904,AQS
3/7/81,43.0,NO2,,26-147-0904,AQS
3/8/81,49.0,NO2,Oak Park,26-125-0001,AQS
3/9/81,54.0,NO2,Oak Park,26-125-0001,AQS
3/10/81,57.0,NO2,Oak Park,26-125-0001,AQS
3/11/81,53.0,NO2,Oak Park,26-125-0001,AQS
3/12/81,62.0,NO2,Oak Park,26-125-0001,AQS
3/13/81,60.0,NO2,Oak Park,26-125-0001,AQS
3/14/81,52.0,NO2,Oak Park,26-125-0001,AQS
3/15/81,48.0,Ozone,Port Huron,26-147-0005,AQS
